community,size,total_wins,total_matches,avg_win_rate
1,2017,36859.0,72553,0.5080286135652557
3,1656,23666.0,47023,0.5032856261829317
16,778,14037.0,27854,0.5039491634953687
11,594,5651.0,11236,0.502936988252047
9,584,7931.0,15833,0.5009158087538685
7,502,4797.0,10433,0.4597910476373047
0,468,7168.0,14532,0.4932562620423892
4,450,4878.0,9800,0.4977551020408163
8,357,4580.0,9443,0.4850153552896325
10,293,5177.0,10601,0.4883501556456938
12,286,4395.0,8775,0.5008547008547009
14,219,2171.0,4347,0.49942489072923857
13,193,1744.0,3566,0.4890633763320247
15,164,372.0,876,0.4246575342465753
2,102,1199.0,2427,0.49402554594149156
24,22,0.0,140,0.0
26,17,20.0,42,0.47619047619047616
5,10,15.0,30,0.5
6,10,0.0,20,0.0
23,10,10.0,23,0.43478260869565216
17,10,10.0,22,0.45454545454545453
22,10,10.0,24,0.4166666666666667
21,10,10.0,20,0.5
19,9,0.0,20,0.0
20,8,0.0,30,0.0
18,7,0.0,20,0.0
25,7,0.0,20,0.0
